"Reference","Qty","Value","MPN"
"C1","1","10µF 25V","GRM21BR61E106MA73L"
"C2,C4,C5","3","4.7u 10V","GMC10X5R475K10NT"
"C3","1","22uF 10V","GRM188R61A226ME15D"
"C6,C8,C9","3","100n 50V","885012206095R"
"C10,C11","2","100uF 25V","A768EB107M1ELAS036"
"D2","1","Vf=1.9V","LC19DJECT-2MA-U1"
"R2","1","33k","RT0603FRE1033KL"
"R3","1","10k","RNCP0603FTD10K0"
"R4,R5,R6","3","750","RNCP0603FTD750R"
"U1","1","AZ1117CR-5.0TRG1","AZ1117CR-5.0TRG1"
"U2","1","TLV77133PDBVR","TLV77133PDBVR"
"U3","1","STM32C011F6U6","STM32C011F6U6"
"U6,U7","2","DRV8231ADDAR","DRV8231ADDAR"
