Designator,Mid X,Mid Y,Rotation,Layer
C1,142.35,-87.4,0.0,top
C10,144.55,-96.975,270.0,top
C11,130.65,-96.875,270.0,top
C12,146.2,-96.975,270.0,top
C2,134.6,-77.875,270.0,top
C3,141.1,-77.15,270.0,top
C4,128.0,-78.225,90.0,top
C5,134.7,-95.9,180.0,bottom
C6,126.0,-87.275,270.0,top
C7,124.0,-87.275,270.0,top
C8,122.0,-87.275,270.0,top
C9,129.0,-96.875,270.0,top
D1,126.7,-83.612499,90.0,top
J1,142.475,-82.5,90.0,bottom
J3,122.73,-79.5,0.0,bottom
J4,127.0,-95.475,180.0,bottom
J5,142.5,-95.475,180.0,bottom
R1,124.175,-84.7,0.0,top
R2,133.775,-84.7,180.0,top
R3,133.775,-86.3,0.0,top
R4,124.7,-97.175,90.0,top
R5,140.2,-97.175,90.0,top
U1,144.45,-82.5,180.0,top
U2,131.1625,-78.05,0.0,top
U3,129.0,-87.0,0.0,top
U4,126.85,-97.05,90.0,top
U5,142.35,-97.05,90.0,top
